W₀mean,W₀sd,Tmean,Tsd,var,mean,sd
0.6,0.15,1.0,15.0,n,4.65,1.496487114615601
0.1,0.2,1.0,15.0,n,0.0,0.0
0.225,0.2,1.0,15.0,n,0.45,0.8870412083230169
0.35,0.2,1.0,15.0,n,3.05,1.5035046776746235
0.475,0.2,1.0,15.0,n,4.35,1.5312533566021214
0.6,0.2,1.0,15.0,n,9.15,2.084403234046921
0.1,0.0,10.75,15.0,n,1.9,1.1192102478745307
0.225,0.0,10.75,15.0,n,3.55,1.8488972531299783
0.35,0.0,10.75,15.0,n,4.85,1.8715318802914815
0.475,0.0,10.75,15.0,n,6.4,2.3708759207472134
0.6,0.0,10.75,15.0,n,11.7,2.2734161635370636
0.1,0.05,10.75,15.0,n,2.2,1.2814465510343749
0.225,0.05,10.75,15.0,n,2.95,1.2763022245616642
0.35,0.05,10.75,15.0,n,4.15,1.4244112357114616
0.475,0.05,10.75,15.0,n,6.75,2.33677690757793
0.6,0.05,10.75,15.0,n,10.35,2.1588252165910684
0.1,0.1,10.75,15.0,n,2.6,1.6351404253232553
0.225,0.1,10.75,15.0,n,2.8,1.2396943596157717
0.35,0.1,10.75,15.0,n,5.45,1.6693837501494848
0.475,0.1,10.75,15.0,n,7.05,2.139232523470435
0.6,0.1,10.75,15.0,n,11.0,2.406132515928939
0.1,0.15,10.75,15.0,n,2.4,1.353358395757909
0.225,0.15,10.75,15.0,n,3.65,1.4964871146156007
0.35,0.15,10.75,15.0,n,5.35,2.6611236249690506
0.475,0.15,10.75,15.0,n,7.7,2.4516374764204993
0.6,0.15,10.75,15.0,n,11.85,2.058998223459779
0.1,0.2,10.75,15.0,n,2.6,1.187655806953123
0.225,0.2,10.75,15.0,n,5.3,2.1545545393788235
0.35,0.2,10.75,15.0,n,5.95,2.3725402775129134
0.475,0.2,10.75,15.0,n,8.6,2.3033156878497434
0.6,0.2,10.75,15.0,n,19.15,5.060424363315996
0.1,0.0,20.5,15.0,n,2.35,1.2258187382102497
0.225,0.0,20.5,15.0,n,5.65,2.2542357790099112
0.35,0.0,20.5,15.0,n,7.7,1.8666040089734592
0.475,0.0,20.5,15.0,n,9.85,2.1588252165910684
0.6,0.0,20.5,15.0,n,15.65,2.6611236249690506
0.1,0.05,20.5,15.0,n,2.85,1.5312533566021214
0.225,0.05,20.5,15.0,n,4.15,1.7252002172135512
0.35,0.05,20.5,15.0,n,6.4,2.3033156878497434
0.475,0.05,20.5,15.0,n,9.75,2.613225472174388
0.6,0.05,20.5,15.0,n,15.55,2.9995613714429368
0.1,0.1,20.5,15.0,n,3.45,1.9861361590045288
0.225,0.1,20.5,15.0,n,4.4,1.6670175069329813
0.35,0.1,20.5,15.0,n,6.35,2.3004576203785834
0.475,0.1,20.5,15.0,n,9.95,3.03445130737702
0.6,0.1,20.5,15.0,n,17.35,2.158825216591069
0.1,0.15,20.5,15.0,n,4.5,2.305599590927317
0.225,0.15,20.5,15.0,n,6.3,2.0799797569865155
0.35,0.15,20.5,15.0,n,7.1,2.2687812633774618
0.475,0.15,20.5,15.0,n,11.2,1.908430051942668
0.6,0.15,20.5,15.0,n,18.1,3.177221560122187
0.1,0.2,20.5,15.0,n,4.65,2.1343062474478063
0.225,0.2,20.5,15.0,n,6.15,2.580799549711189
0.35,0.2,20.5,15.0,n,8.5,2.6852423197524415
0.475,0.2,20.5,15.0,n,11.85,2.6011131220468307
0.6,0.2,20.5,15.0,n,23.65,2.852053738328889
0.1,0.0,30.25,15.0,n,4.5,1.504379571363837
0.225,0.0,30.25,15.0,n,5.85,2.7003898354048617
0.35,0.0,30.25,15.0,n,7.95,2.502104377476982
0.475,0.0,30.25,15.0,n,12.45,1.9049796241485244
0.6,0.0,30.25,15.0,n,19.75,3.640054944640259
0.1,0.05,30.25,15.0,n,4.2,1.5423836644690752
0.225,0.05,30.25,15.0,n,6.2,2.6872016358247004
0.35,0.05,30.25,15.0,n,8.95,2.87411313552363
0.475,0.05,30.25,15.0,n,13.45,2.9642608025042527
0.6,0.05,30.25,15.0,n,20.15,3.183427480926147
0.1,0.1,30.25,15.0,n,4.15,1.9808291724745768
0.225,0.1,30.25,15.0,n,6.55,2.41650029675366
0.35,0.1,30.25,15.0,n,8.8,2.930780388260186
0.475,0.1,30.25,15.0,n,12.55,2.6650762801367187
0.6,0.1,30.25,15.0,n,18.7,2.617753154701063
0.1,0.15,30.25,15.0,n,5.55,2.282081229238369
0.225,0.15,30.25,15.0,n,6.75,2.3141441523584345
0.35,0.15,30.25,15.0,n,9.75,3.160196529531535
0.475,0.15,30.25,15.0,n,14.0,3.1953914182443244
0.6,0.15,30.25,15.0,n,21.05,2.235479461111784
0.1,0.2,30.25,15.0,n,6.0,2.051956704170308
0.225,0.2,30.25,15.0,n,7.9,2.3373399185263666
0.35,0.2,30.25,15.0,n,12.5,2.6257830912139837
0.475,0.2,30.25,15.0,n,15.7,3.213458540182786
0.6,0.2,30.25,15.0,n,24.15,2.2307657406087453
0.1,0.0,40.0,15.0,n,5.3,2.2734161635370636
0.225,0.0,40.0,15.0,n,7.6,2.3929721664644754
0.35,0.0,40.0,15.0,n,9.2,2.546411303445653
0.475,0.0,40.0,15.0,n,16.0,2.5955427380922007
0.6,0.0,40.0,15.0,n,21.8,2.7644357947251903
0.1,0.05,40.0,15.0,n,5.0,1.3764944032233706
0.225,0.05,40.0,15.0,n,7.65,2.6011131220468307
0.35,0.05,40.0,15.0,n,10.5,2.2124052165246
0.475,0.05,40.0,15.0,n,14.3,2.494203807145468
0.6,0.05,40.0,15.0,n,22.15,1.7554426642213128
0.1,0.1,40.0,15.0,n,5.35,2.3680993933621335
0.225,0.1,40.0,15.0,n,8.3,1.949358868961793
0.35,0.1,40.0,15.0,n,10.55,3.7059695797882353
0.475,0.1,40.0,15.0,n,16.15,3.6458339598996954
0.6,0.1,40.0,15.0,n,22.2,1.9894458366193601
0.1,0.15,40.0,15.0,n,6.75,2.29128784747792
0.225,0.15,40.0,15.0,n,8.4,2.112618729145617
0.35,0.15,40.0,15.0,n,12.1,3.0418138632972544
0.475,0.15,40.0,15.0,n,15.95,2.910507280798134
0.6,0.15,40.0,15.0,n,22.55,2.8186409565791215
0.1,0.2,40.0,15.0,n,7.1,1.6827296120792614
0.225,0.2,40.0,15.0,n,10.0,2.9379548919900764
0.35,0.2,40.0,15.0,n,12.95,2.6452539426400317
0.475,0.2,40.0,15.0,n,18.55,2.742933504576135
0.6,0.2,40.0,15.0,n,26.7,2.1051315748352692
0.1,0.0,1.0,22.5,n,0.65,0.6708203932499369
0.225,0.0,1.0,22.5,n,1.8,0.8944271909999159
0.35,0.0,1.0,22.5,n,1.8,0.7677718959499145
0.475,0.0,1.0,22.5,n,3.0,1.1239029738980326
0.6,0.0,1.0,22.5,n,4.95,1.3562719801759993
0.1,0.05,1.0,22.5,n,0.25,0.5501196042201808
0.225,0.05,1.0,22.5,n,1.7,0.7326950970650465
0.35,0.05,1.0,22.5,n,2.55,1.0990426455975697
0.475,0.05,1.0,22.5,n,2.95,1.4680814547887788
0.6,0.05,1.0,22.5,n,3.8,0.9514531821875087
0.1,0.1,1.0,22.5,n,0.05,0.22360679774997894
0.225,0.1,1.0,22.5,n,1.7,0.7326950970650465
0.35,0.1,1.0,22.5,n,2.35,0.812727700887249
0.475,0.1,1.0,22.5,n,3.25,1.2085223687584246
0.6,0.1,1.0,22.5,n,4.1,1.2937094768634556
0.1,0.15,1.0,22.5,n,0.0,0.0
0.225,0.15,1.0,22.5,n,1.55,0.998683343734455
0.35,0.15,1.0,22.5,n,2.45,0.9445132413883326
0.475,0.15,1.0,22.5,n,3.35,1.0894228312566052
0.6,0.15,1.0,22.5,n,5.0,1.6858544608470492
0.1,0.2,1.0,22.5,n,0.0,0.0
0.225,0.2,1.0,22.5,n,1.6,1.0462967275611939
0.35,0.2,1.0,22.5,n,3.05,1.145931016569864
0.475,0.2,1.0,22.5,n,3.6,1.2732056517228265
0.6,0.2,1.0,22.5,n,6.3,2.6969768650335726
0.1,0.0,10.75,22.5,n,2.0,1.1239029738980326
0.225,0.0,10.75,22.5,n,2.25,1.2085223687584246
0.35,0.0,10.75,22.5,n,4.15,1.7554426642213128
0.475,0.0,10.75,22.5,n,5.95,2.327750212679956
0.6,0.0,10.75,22.5,n,8.8,2.330574810506717
0.1,0.05,10.75,22.5,n,2.0,0.8583950752789521
0.225,0.05,10.75,22.5,n,2.95,1.394538218230416
0.35,0.05,10.75,22.5,n,4.6,2.036508880671192
0.475,0.05,10.75,22.5,n,4.95,1.820208200931103
0.6,0.05,10.75,22.5,n,8.55,2.0894471693929497
0.1,0.1,10.75,22.5,n,2.25,1.4095538674570611
0.225,0.1,10.75,22.5,n,2.6,1.142481141154959
0.35,0.1,10.75,22.5,n,3.75,1.7434086394791457
0.475,0.1,10.75,22.5,n,5.4,1.535543791899829
0.6,0.1,10.75,22.5,n,7.6,1.6670175069329813
0.1,0.15,10.75,22.5,n,2.85,1.1821033884786185
0.225,0.15,10.75,22.5,n,3.95,1.538112308540638
0.35,0.15,10.75,22.5,n,4.55,1.4317821063276355
0.475,0.15,10.75,22.5,n,6.8,2.0925934551223877
0.6,0.15,10.75,22.5,n,8.2,2.30788123383195
0.1,0.2,10.75,22.5,n,2.7,1.3803127029389888
0.225,0.2,10.75,22.5,n,4.2,1.6733200530681511
0.35,0.2,10.75,22.5,n,5.5,2.115108557622118
0.475,0.2,10.75,22.5,n,7.5,2.23606797749979
0.6,0.2,10.75,22.5,n,13.8,3.981536333998142
0.1,0.0,20.5,22.5,n,2.25,1.019545822516343
0.225,0.0,20.5,22.5,n,4.95,2.1144863753590246
0.35,0.0,20.5,22.5,n,6.75,2.6729640555206244
0.475,0.0,20.5,22.5,n,8.6,2.280350850198276
0.6,0.0,20.5,22.5,n,14.0,2.5751852258368566
0.1,0.05,20.5,22.5,n,3.2,1.823819012257983
0.225,0.05,20.5,22.5,n,4.4,1.9029063643750175
0.35,0.05,20.5,22.5,n,6.55,2.1878853044122666
0.475,0.05,20.5,22.5,n,9.85,2.4767338424456895
0.6,0.05,20.5,22.5,n,15.8,2.876401260347088
0.1,0.1,20.5,22.5,n,3.5,1.3954814298487213
0.225,0.1,20.5,22.5,n,4.5,1.6059101370939324
0.35,0.1,20.5,22.5,n,6.8,2.142305693455191
0.475,0.1,20.5,22.5,n,9.3,2.5772282132473046
0.6,0.1,20.5,22.5,n,15.0,1.8918106058538346
0.1,0.15,20.5,22.5,n,4.15,1.6311119875071343
0.225,0.15,20.5,22.5,n,5.75,1.7733405882980469
0.35,0.15,20.5,22.5,n,7.95,2.327750212679956
0.475,0.15,20.5,22.5,n,10.75,2.7313964040009777
0.6,0.15,20.5,22.5,n,17.15,2.996050031203365
0.1,0.2,20.5,22.5,n,6.1,1.5861240410775603
0.225,0.2,20.5,22.5,n,6.2,1.7651599003161755
0.35,0.2,20.5,22.5,n,9.1,2.9717972587928037
0.475,0.2,20.5,22.5,n,11.6,1.6026294183720635
0.6,0.2,20.5,22.5,n,23.9,3.0932864485255127
0.1,0.0,30.25,22.5,n,4.0,1.4509525002200232
0.225,0.0,30.25,22.5,n,6.35,2.641271623569542
0.35,0.0,30.25,22.5,n,9.5,2.481510575605533
0.475,0.0,30.25,22.5,n,12.05,1.8488972531299783
0.6,0.0,30.25,22.5,n,18.8,3.488326397089524
0.1,0.05,30.25,22.5,n,3.9,1.5525869752736798
0.225,0.05,30.25,22.5,n,6.75,2.510504247944498
0.35,0.05,30.25,22.5,n,8.7,2.1051315748352692
