W₀mean,W₀sd,Tmean,Tsd,var,mean,sd
0.5,0.18,90.0,0.0,n,21.0,3.2118202741878648
0.6,0.18,90.0,0.0,n,22.3,3.510885328442626
0.1,0.24,90.0,0.0,n,16.35,4.579990806701874
0.2,0.24,90.0,0.0,n,18.75,5.024937810560445
0.3,0.24,90.0,0.0,n,17.35,7.720614919605958
0.4,0.24,90.0,0.0,n,19.2,7.082966966789523
0.5,0.24,90.0,0.0,n,20.55,3.3946552417773317
0.6,0.24,90.0,0.0,n,21.65,3.616846547390202
0.1,0.3,90.0,0.0,n,19.15,2.7582412397834433
0.2,0.3,90.0,0.0,n,18.7,4.878524367060187
0.3,0.3,90.0,0.0,n,21.6,2.4148662379867796
0.4,0.3,90.0,0.0,n,21.85,2.3232237130876205
0.5,0.3,90.0,0.0,n,21.8,3.1556132109056247
0.6,0.3,90.0,0.0,n,21.75,2.6729640555206244
0.1,0.0,110.0,0.0,n,12.2,2.587418953726911
0.2,0.0,110.0,0.0,n,16.55,2.235479461111784
0.3,0.0,110.0,0.0,n,20.25,3.2261268941010526
0.4,0.0,110.0,0.0,n,23.15,2.4767338424456895
0.5,0.0,110.0,0.0,n,23.3,2.556724878680371
0.6,0.0,110.0,0.0,n,24.25,2.572629210094525
0.1,0.06,110.0,0.0,n,9.4,8.223202091130862
0.2,0.06,110.0,0.0,n,15.1,5.476264573978372
0.3,0.06,110.0,0.0,n,20.25,3.0928610498508027
0.4,0.06,110.0,0.0,n,23.2,1.935812083093974
0.5,0.06,110.0,0.0,n,23.75,2.3591925469711477
0.6,0.06,110.0,0.0,n,23.55,2.7999060134601885
0.1,0.12,110.0,0.0,n,12.8,8.900620912699235
0.2,0.12,110.0,0.0,n,9.3,10.613298510037204
0.3,0.12,110.0,0.0,n,13.15,11.17457169790319
0.4,0.12,110.0,0.0,n,21.85,2.5807995497111884
0.5,0.12,110.0,0.0,n,22.6,2.9451119181664924
0.6,0.12,110.0,0.0,n,23.45,3.1535276821529985
0.1,0.18,110.0,0.0,n,10.15,8.77361475045911
0.2,0.18,110.0,0.0,n,14.15,9.718538984847465
0.3,0.18,110.0,0.0,n,13.2,11.180810628741973
0.4,0.18,110.0,0.0,n,9.55,11.090417865033428
0.5,0.18,110.0,0.0,n,23.45,3.1030545223087933
0.6,0.18,110.0,0.0,n,22.5,2.115108557622118
0.1,0.24,110.0,0.0,n,16.85,7.672747397873786
0.2,0.24,110.0,0.0,n,16.95,8.846497969015168
0.3,0.24,110.0,0.0,n,13.4,11.536669226518773
0.4,0.24,110.0,0.0,n,10.45,11.936123852892067
0.5,0.24,110.0,0.0,n,18.4,9.965202614994576
0.6,0.24,110.0,0.0,n,21.05,7.7559824108809545
0.1,0.3,110.0,0.0,n,17.95,6.62908265464425
0.2,0.3,110.0,0.0,n,17.7,7.8008096745752855
0.3,0.3,110.0,0.0,n,15.35,10.418985706770824
0.4,0.3,110.0,0.0,n,17.05,10.318481120377115
0.5,0.3,110.0,0.0,n,14.25,10.968255630634589
0.6,0.3,110.0,0.0,n,14.0,11.916375287812984
0.1,0.0,10.0,10.0,n,1.9,0.967906041546987
0.2,0.0,10.0,10.0,n,2.2,1.399247918291146
0.3,0.0,10.0,10.0,n,3.7,2.1545545393788235
0.4,0.0,10.0,10.0,n,6.4,2.854359546562527
0.5,0.0,10.0,10.0,n,6.1,2.7125439603519985
0.6,0.0,10.0,10.0,n,5.65,2.1095023109728985
0.1,0.06,10.0,10.0,n,1.85,1.4244112357114616
0.2,0.06,10.0,10.0,n,2.55,1.190974832912761
0.3,0.06,10.0,10.0,n,3.25,1.4823523268955432
0.4,0.06,10.0,10.0,n,4.55,1.7006190823220508
0.5,0.06,10.0,10.0,n,5.7,2.364206776957237
0.6,0.06,10.0,10.0,n,5.1,1.8035053587243284
0.1,0.12,10.0,10.0,n,2.1,1.3726654823065194
0.2,0.12,10.0,10.0,n,2.95,1.637552731171861
0.3,0.12,10.0,10.0,n,3.7,1.5593520921743174
0.4,0.12,10.0,10.0,n,5.6,1.8180382718454353
0.5,0.12,10.0,10.0,n,5.5,1.4689774459950382
0.6,0.12,10.0,10.0,n,5.35,2.2542357790099112
0.1,0.18,10.0,10.0,n,1.8,1.2814465510343749
0.2,0.18,10.0,10.0,n,3.3,1.5927467172350909
0.3,0.18,10.0,10.0,n,3.8,1.5761378513048248
0.4,0.18,10.0,10.0,n,5.1,2.100125309544522
0.5,0.18,10.0,10.0,n,5.65,3.1668513334889994
0.6,0.18,10.0,10.0,n,4.85,2.3457688673327066
0.1,0.24,10.0,10.0,n,3.65,1.460893742308382
0.2,0.24,10.0,10.0,n,4.75,1.8027756377319946
0.3,0.24,10.0,10.0,n,3.9,1.5183093090324964
0.4,0.24,10.0,10.0,n,5.1,2.0235456115702615
0.5,0.24,10.0,10.0,n,5.3,2.3192557789991715
0.6,0.24,10.0,10.0,n,5.7,2.0545200489600846
0.1,0.3,10.0,10.0,n,3.95,1.7614288458371994
0.2,0.3,10.0,10.0,n,4.05,1.820208200931103
0.3,0.3,10.0,10.0,n,5.2,2.284962282309918
0.4,0.3,10.0,10.0,n,5.4,2.3708759207472134
0.5,0.3,10.0,10.0,n,5.25,1.9701723141310308
0.6,0.3,10.0,10.0,n,5.6,1.9029063643750175
0.1,0.0,30.0,10.0,n,4.15,2.277463963548745
0.2,0.0,30.0,10.0,n,5.6,1.930366749991743
0.3,0.0,30.0,10.0,n,7.85,2.3680993933621335
0.4,0.0,30.0,10.0,n,9.8,2.8022547312739734
0.5,0.0,30.0,10.0,n,10.2,2.9127668163304437
0.6,0.0,30.0,10.0,n,9.95,2.4809802816416613
0.1,0.06,30.0,10.0,n,3.9,1.5183093090324964
0.2,0.06,30.0,10.0,n,5.35,2.1343062474478063
0.3,0.06,30.0,10.0,n,7.65,2.300457620378584
0.4,0.06,30.0,10.0,n,9.7,2.364206776957237
0.5,0.06,30.0,10.0,n,10.7,2.8672378052018894
0.6,0.06,30.0,10.0,n,10.0,2.1521103473958814
0.1,0.12,30.0,10.0,n,5.05,1.9049796241485244
0.2,0.12,30.0,10.0,n,5.8,1.7350868323485928
0.3,0.12,30.0,10.0,n,6.9,1.2937094768634556
0.4,0.12,30.0,10.0,n,8.6,2.500526260399472
0.5,0.12,30.0,10.0,n,10.35,2.433861994963214
0.6,0.12,30.0,10.0,n,9.35,2.5188761069384227
0.1,0.18,30.0,10.0,n,6.4,2.2337129816094383
0.2,0.18,30.0,10.0,n,6.7,2.515216847405743
0.3,0.18,30.0,10.0,n,7.5,2.1884866196096624
0.4,0.18,30.0,10.0,n,7.55,2.350251946180731
0.5,0.18,30.0,10.0,n,9.15,2.1343062474478063
0.6,0.18,30.0,10.0,n,9.5,2.2124052165246
0.1,0.24,30.0,10.0,n,6.75,2.1490511982341367
0.2,0.24,30.0,10.0,n,7.7,3.045272436174852
0.3,0.24,30.0,10.0,n,7.85,2.4553914898486253
0.4,0.24,30.0,10.0,n,7.5,2.5026301953618404
0.5,0.24,30.0,10.0,n,9.6,1.6670175069329813
0.6,0.24,30.0,10.0,n,9.0,2.955814964652415
0.1,0.3,30.0,10.0,n,7.05,2.187885304412267
0.2,0.3,30.0,10.0,n,7.95,1.9861361590045288
0.3,0.3,30.0,10.0,n,7.35,2.6611236249690506
0.4,0.3,30.0,10.0,n,8.5,2.090076805438398
0.5,0.3,30.0,10.0,n,8.95,2.7429335045761345
0.6,0.3,30.0,10.0,n,9.35,3.4224491076912806
0.1,0.0,50.0,10.0,n,5.45,1.9861361590045288
0.2,0.0,50.0,10.0,n,8.05,2.282081229238369
0.3,0.0,50.0,10.0,n,11.1,2.8635642126552705
0.4,0.0,50.0,10.0,n,14.0,2.1521103473958814
0.5,0.0,50.0,10.0,n,15.75,2.712058841156426
0.6,0.0,50.0,10.0,n,14.0,3.1953914182443244
0.1,0.06,50.0,10.0,n,5.5,1.9330913339165219
0.2,0.06,50.0,10.0,n,8.15,1.5985190514644287
0.3,0.06,50.0,10.0,n,10.95,2.9642608025042527
0.4,0.06,50.0,10.0,n,13.45,2.5848750351551657
0.5,0.06,50.0,10.0,n,13.7,3.045272436174852
0.6,0.06,50.0,10.0,n,14.65,3.5433406776507868
0.1,0.12,50.0,10.0,n,7.2,2.261811104775156
0.2,0.12,50.0,10.0,n,9.4,1.729009451741235
0.3,0.12,50.0,10.0,n,12.2,2.726092248506719
0.4,0.12,50.0,10.0,n,12.1,2.2687812633774618
0.5,0.12,50.0,10.0,n,14.0,2.973567766700113
0.6,0.12,50.0,10.0,n,16.9,4.666791978267411
